,XGB
0,2.2481773048639297
1,1.9067293033003807
2,10.87396964430809
3,12.849560379981995
4,13.469178974628448
5,6.842041015625
6,6.063302233815193
7,11.220015585422516
8,10.953426361083984
9,2.7791300788521767
10,1.8032023683190346
11,1.9903311505913734
12,1.9629383459687233
13,1.6474684700369835
14,1.820286177098751
15,1.8797501921653748
16,1.7109816893935204
17,0.9522775188088417
18,4.656531289219856
19,2.5837942957878113
20,1.5443292446434498
21,5.017801001667976
22,12.421470135450363
23,15.810173749923706
24,4.966485500335693
25,1.6342326998710632
26,3.081762418150902
27,0.9776242077350616
28,7.01601505279541
29,1.3219783082604408
30,1.8161419779062271
31,2.393396757543087
32,8.445177227258682
33,19.409069418907166
34,10.727820545434952
35,7.564619928598404
36,4.864783212542534
37,10.761231184005737
38,9.719650447368622
39,2.425798401236534
40,1.7580647021532059
41,2.1710243076086044
42,1.7753016203641891
43,1.7548631876707077
44,2.010899968445301
45,1.6088500618934631
46,1.793866790831089
47,1.0336405597627163
48,2.137553133070469
49,1.8581103533506393
50,1.1183518916368484
51,4.842990264296532
52,9.536626189947128
53,15.658619999885559
54,1.7200792208313942
55,1.525841560214758
56,1.6564324498176575
57,1.139813382178545
58,6.765343993902206
59,1.2070411816239357
